year,sector,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2015,Retail,Ready-To-Drink Beverages,363864.51658999384,16029273.858589992,503422332.46823597,273406.4617271014,273406.4617271015,0.0,207420.96768212595,90458.05486289237,0.0,0.0,22776.541961383344,84925.94761820679,0.0,21155.811697537294,5532.107244685584,139016.05320528836,0.0,0.0,477268.96147967945,32119.822823188206,509388.78430286766,2362.49586329374,1628.0036087190915,3990.4994720128325,5256830218.75312,455677436.21183574
2016,Retail,Breads & Bakery,500755.47631672246,7983983.997396722,2223571454.732752,289193.82848108135,405074.0829893662,0.0,130451.80913526937,95681.3933273562,23136.877352699983,92743.37715558478,24091.7326085257,89829.84445191144,0.0,20333.374208279438,5851.548875444751,149087.32833692,0.0,0.0,887244.4265282231,114614.75192470923,1001859.1784529324,3397.9592624356565,7658.992355831271,11056.951618266929,8777684700.135563,675123471.6489438
2016,Retail,Dairy & Eggs,499283.6455076819,25014210.696777683,1255539438.9961982,288343.82402446785,403883.4809021501,3497.073558314777,157543.96150349395,95400.1646055318,23068.872966281335,92470.78391140082,24020.921691873904,89565.8147230543,0.0,20211.70309099647,5834.349882477495,148711.03463606568,0.0,0.0,1490295.3449225468,31770.152091475204,1522065.497014022,18648.020824476615,2245.265614221975,20893.28643869859,115782244316.11292,673139134.8369169
2016,Retail,Dry Goods,654711.3025857926,33386603.90544579,3973902635.264577,378105.6365819283,529612.9409675654,0.0,572983.6906840081,125098.3616182272,30250.24353357845,121257.0608520585,31498.666282583283,117447.77092560788,0.0,26827.682377642,7650.590692619303,194680.92630347583,0.0,0.0,1598947.0920429933,136065.32162256405,1735012.4136655575,7375.899409485123,8964.865995220995,16340.765404706117,76352304611.00906,882688234.9459423
2016,Retail,Fresh Meat & Seafood,646608.5134339448,10978073.233173944,5198776737.850914,370196.15333427436,521597.5768213408,93611.73340191535,237660.95911264644,125010.93661260407,30229.103147111244,121172.32033995501,31476.653435722175,117365.6925362447,0.0,24744.458061174555,0.0,196609.34930113296,0.0,0.0,6699808.616173665,120665.75471919532,6820474.37089286,90794.07958475639,7146.7163322762335,97940.79591703264,785322733692.264,869329294.7022346
2016,Retail,Frozen,129341.15608684364,14260325.919166842,575110697.5230178,74696.46539674663,104627.41332363347,994.1391908726698,114466.92313685663,24713.742763210164,5976.071369302351,23954.87655758447,6222.702886130703,23202.334237005656,0.0,5321.424673959647,1511.408526204508,38438.595073446115,0.0,0.0,509028.2609536532,17050.454104968394,526078.7150586216,4566.503602954666,1193.0110159083613,5759.514618863028,31096332350.146202,174379022.20605576
2016,Retail,Prepared Foods,439404.9595061569,4712117.528216157,4965019596.452279,253762.98114169322,355446.0599056102,16790.805061659958,53396.49067918819,83958.89960054666,20302.241587133198,81380.83717678372,21140.11187485616,78824.25860655213,0.0,20271.710849078496,5134.640993994527,128392.2588172119,0.0,0.0,1728245.770140154,65780.6326540929,1794026.4027942468,13672.250392187378,4561.144307513154,18233.394699700533,168483744519.2882,592410099.8426837
2016,Retail,Produce,1600488.3142633964,24740892.166693397,4779590354.942463,924306.1033411749,1294676.4776375382,363517.2459792652,544534.1391618353,305811.8366258582,73948.87042257824,296421.50387378474,77000.72856700211,287109.4238946453,0.0,69261.06154206985,18702.412731212884,472232.47660624475,0.0,0.0,2386527.5310360305,134192.35786917727,2520719.888905208,5894.464756083023,6682.08531016775,12576.550066250773,58339766507.00264,2157794129.395897
2016,Retail,Ready-To-Drink Beverages,375210.77719738137,16228839.84417738,519218589.0212923,281932.000286265,281932.00028626504,0.0,213888.90354136724,93278.77691111629,0.0,0.0,23486.774943843004,87574.16389121948,0.0,21626.4516009617,5704.613019896822,143539.99683034397,0.0,0.0,492151.47343087243,33126.36011414544,525277.8335450179,2436.1647497243744,1680.763856568129,4116.928606292503,5420752126.252478,469886667.14377505
2017,Retail,Breads & Bakery,526243.7102187152,7899185.082838716,2358457233.034642,303913.6673883977,425692.1759772061,0.0,137091.74894907753,100551.53424150919,24314.534252360823,97463.97433644749,25317.99122150588,94402.14409726132,0.0,21227.68450384909,6149.390144247862,156816.45742153353,0.0,0.0,932404.7783189394,120591.86153472296,1052996.6398536623,3570.9138971157267,8055.741446645893,11626.65534376162,9224464997.778267,709486959.9620101
2017,Retail,Dairy & Eggs,532151.7367640577,24354770.561284058,1338841536.8061142,307325.6416876757,430471.331769439,4042.212631989948,167915.15901853077,101680.40499461867,24587.50837254723,98558.18170921586,25602.23094030315,95461.97695119138,0.0,21029.46349224484,6218.428043427281,159013.5422605091,0.0,0.0,1588402.2303304577,33934.593531839266,1622336.823862297,19875.629330632386,2400.4948311844196,22276.124161816802,123404247172.1857,717452219.6157316
2017,Retail,Dry Goods,632753.8823474926,32532333.282647494,3865672499.8317885,365424.89573613944,511851.01466121007,0.0,553767.2152140551,120902.86768628261,29235.724146247947,117190.39477882255,30442.27784117247,113508.85914559133,0.0,25434.314879805686,7394.00854069127,188645.43532887867,0.0,0.0,1545322.306431178,131944.15335040019,1677266.459781578,7128.52973321736,8686.009795163443,15814.539528380805,73791634538.74171,853085024.4353501
2017,Retail,Fresh Meat & Seafood,619968.4402960009,10051369.006096002,5460715666.969625,354944.18495570146,500107.91606617917,81131.34638465809,227869.40023079515,119860.52422982178,28983.673336023916,116180.05777445364,30179.82493401855,112530.26187288025,0.0,23999.378544959913,0.0,188234.71960384276,0.0,0.0,6423778.548772881,115498.25086189176,6539276.799634772,87053.39125421635,6842.58380981408,93895.97506403043,752967677073.3115,833513193.443632
2017,Retail,Frozen,133204.6062744277,13690093.142284429,609365066.2955825,76927.66606001549,107752.65831031211,1062.2665818931432,117886.07655286852,25451.947964115592,6154.578000534599,24670.41424976199,6408.576457699521,23895.39331636134,0.0,5399.569447687214,1556.5546477542512,39667.572190513165,0.0,0.0,524233.0526051717,17605.795945602353,541838.8485507739,4702.906119641566,1231.1165578346631,5934.022677476229,32025186975.279472,179587763.8505202
2017,Retail,Prepared Foods,489883.7178579944,4833106.924407994,5547294273.2047825,282915.22425267234,396279.63580619503,19837.100333455808,59530.669394103475,93604.08205179934,22634.55924742843,90729.85230609414,23568.683914782625,87879.5744749365,0.0,22394.35425168168,5724.507576862845,143348.10403440867,0.0,0.0,1926786.3162039442,73475.94595371479,2000262.262157659,15242.915922336842,5092.218282804624,20335.13420514147,187839125112.53503,660466059.6769917
2017,Retail,Produce,1653527.0485829278,24716398.334572926,5011699146.544137,954936.7711243363,1337580.8844458864,371940.41477253754,562579.5077393695,315946.1641370414,76399.46906589149,306244.64425565844,79552.46302734099,296623.97037328687,0.0,71435.31918311432,19322.19376375454,488002.8247768395,0.0,0.0,2465614.893647062,138648.64022756225,2604263.5338746244,6089.80198370759,6905.086897472243,12994.888881179833,60273093572.53171,2229301474.0764775
2017,Retail,Ready-To-Drink Beverages,365586.9175479738,15530455.290907972,522163883.55941176,274700.6674826115,274700.66748261155,0.0,208402.82234822243,90886.25006536223,0.0,0.0,22884.357744195615,85327.95585716839,0.0,20698.444549657706,5558.294208193848,140231.61512339592,0.0,0.0,479528.1774212905,32286.481330938288,511814.6587522288,2373.6790508611775,1641.59246906593,4015.271519927108,5281714121.94207,457834445.8043525
2018,Retail,Breads & Bakery,415314.77846414526,5889319.036644145,2631144210.800166,239850.5388143819,335958.88810987206,0.0,108193.65293769448,79355.89035427323,19189.180241757454,76919.16905373259,19981.114664433164,74502.75376402981,0.0,16616.140240266257,4853.136590243414,123897.39355540925,0.0,0.0,735859.5958999626,95311.2685992955,831170.8644992581,2818.187249171634,6364.36529802081,9182.552547192443,7280004611.191069,559931480.18312
2018,Retail,Dairy & Eggs,639646.2575321139,26932474.001352113,1596173733.5246646,369405.34619796905,517426.43557934946,4947.005975777216,201833.9801016832,122219.82195276444,29554.179054596287,118466.91032678397,30773.875333039952,114745.27296435331,0.0,26130.446289208936,7474.548988411117,190281.2026229557,0.0,0.0,1909259.0926505148,40667.94109638009,1949927.0337468944,23890.501597801416,2873.0470258367213,26763.54862363814,148331874940.8767,862377392.632249
2018,Retail,Dry Goods,706677.6206194358,36653403.559099436,4038543728.0839877,408116.96781040495,571649.842448195,0.0,618463.0532375115,135027.77817124085,32651.292316228886,130881.58232156097,33998.80596737485,126769.93810396179,0.0,28998.571301165346,8257.840067279041,210091.8123706239,0.0,0.0,1725860.1188624548,146828.0482997889,1872688.1671622437,7961.345747410896,9674.600200087976,17635.945947498873,82412606500.3252,952749737.4136583
2018,Retail,Fresh Meat & Seafood,771108.5884635575,11960735.046743557,5601043296.126032,441474.906874069,622027.6455574448,104246.99313124853,283420.9616897805,149080.9429061128,36049.511526682814,144503.2271566927,37537.26914524432,139963.65903851783,0.0,32316.586788291923,0.0,231657.39190201496,0.0,0.0,7989811.234555333,141892.33397589112,8131703.5685312245,108275.86258899697,8423.611208638149,116699.47379763512,936531289156.3818,1036712742.5957413
2018,Retail,Frozen,118801.76303836303,11434240.908408362,655615888.0082687,68609.8071978671,96101.8251348035,1112.318374832399,105139.5602889513,22699.937903559545,5489.109856413447,22002.908080522917,5715.644548900353,21311.68683934493,0.0,4847.394774671621,1388.2510642146162,35346.82997073558,0.0,0.0,467549.9791964299,15684.119421916985,483234.09861834685,4194.401034948182,1097.0335264111256,5291.434561359308,28562440749.6697,160169708.5580058
2018,Retail,Prepared Foods,583289.5629856641,5328305.133695664,6244643235.268863,336858.50641839096,471838.044751096,21637.101549031628,70881.34769401791,111451.51823456814,26950.2775669567,108029.26076574823,28062.511244323177,104635.52210916851,0.0,27234.77533984271,6815.996125399623,170109.70159965692,0.0,0.0,2294165.548631565,87102.45403112691,2381268.0026626918,18149.273884510647,6043.527622573482,24192.80150708413,223654302448.6889,786396741.2518268
2018,Retail,Produce,1703038.6630929932,24638869.547062993,5354952789.443115,983530.4741024119,1377632.1126271687,379259.0659631345,579424.844344129,325406.55046582455,78687.10086750356,315414.53765725263,81934.50503028944,305505.79162208555,0.0,75253.60909479881,19900.75884373897,500935.8095114992,0.0,0.0,2539442.881068948,142671.5509475469,2682114.432016495,6272.1491237307055,7090.147917849024,13362.29704157973,62077852785.17945,2296053521.045281
2018,Retail,Ready-To-Drink Beverages,378493.72013906296,15796899.838859063,599406593.4241158,284398.79155832663,284398.7915583267,0.0,215760.3451652728,94094.92858073625,0.0,0.0,23692.27475011374,88340.40249813748,0.0,21610.723180450197,5754.526082598759,145000.86504702643,0.0,0.0,496457.60029110423,33421.57516516236,529879.1754562666,2457.4802085436017,1697.6323720230162,4155.112580566618,5468181520.643579,473997985.93054444
2019,Retail,Breads & Bakery,435882.7464930429,5856277.663483042,2871435237.718813,251728.85008539289,352596.85051328404,0.0,113551.8142889026,83285.89597975882,20139.501458769708,80728.4989691214,20970.655487226875,78192.41360023929,0.0,17459.60862947908,5093.482379519528,130012.68998892808,0.0,0.0,772302.1629046773,100010.48818066416,872312.6510853415,2957.754604455172,6678.5421409536575,9636.296745408828,7640538138.668545,587661417.5221401
2019,Retail,Dairy & Eggs,686727.1179819072,26783428.93845191,1736821150.045592,396595.2521013598,555511.3638028563,5450.03285080677,216689.874808011,131215.75417905094,31729.500434801183,127186.61126669522,33038.97188131679,123191.04454527583,0.0,27965.66840959438,8024.7096337751045,204374.85763139764,0.0,0.0,2049789.2057326892,43673.826529769314,2093463.0322624585,25648.950675798536,3085.7914443481914,28734.74212014673,159249772485.20337,925852273.0047604
2019,Retail,Dry Goods,705638.0141024763,36905753.87565248,4104480068.6429505,407516.579391361,570808.8777929012,0.0,617553.2208020642,134829.1363095751,32603.258396250854,130689.04000528925,33948.78969514375,126583.44450353915,0.0,28787.78525015757,8245.69180603592,209950.8681364846,0.0,0.0,1723321.1741236118,146762.6316490054,1870083.8057726172,7949.633664445087,9667.793759563507,17617.427424008594,82291367790.76727,951348129.6548355
2019,Retail,Fresh Meat & Seafood,810820.1214452671,12056804.779855268,5988026509.866918,464210.5443539456,654061.6181154576,109692.97787708783,298016.93563720793,156758.50332980952,37906.03522176813,151945.0385397437,39470.411278539505,147171.6859562618,0.0,33899.42433956481,0.0,243669.0227795795,0.0,0.0,8401280.717719665,149257.89639156382,8550538.61411123,113851.99097435629,8860.297273610999,122712.2882479673,984761971234.2982,1090102696.859096
2019,Retail,Frozen,128001.24195128525,11583822.801021285,717901703.7306721,73922.64480561051,103543.52205251233,1213.0311142087762,113281.09912688745,24457.719898772913,5914.162053311255,23706.71519359053,6158.23858249553,22961.968860951336,0.0,5163.7626021726455,1495.7510378215748,38142.92372216942,0.0,0.0,503754.965253462,16932.239464306283,520687.20471776836,4519.196752507397,1183.7861362988285,5702.982888806226,30774188830.321728,172572536.75418723
2019,Retail,Prepared Foods,649773.2224010441,5526222.337141044,7033269878.142748,375253.82091237634,525618.3999247435,24673.29954708387,78960.44198617488,124154.82247630054,30022.084759494348,120342.49425287268,31261.09143210841,116561.93543130673,0.0,30064.69729055237,7592.8870449937995,189773.209713415,0.0,0.0,2555655.77691029,97214.64709571845,2652870.4240060085,20217.937924028032,6741.806440145005,26959.744364173035,249146540634.251,876030666.5412393
2019,Retail,Produce,1806773.2490341936,25329780.583684195,5666402589.965324,1043438.7596291014,1461545.7077085255,407158.9558209706,614718.4625189037,345227.5413256682,83480.04773611981,334626.9003433038,86925.25605538826,324114.5980357925,0.0,78777.02923208752,21112.94328987578,532508.9330159574,0.0,0.0,2694124.0762160914,151443.12023612394,2845567.196452215,6654.1949377288465,7535.720502638665,14189.915440367511,65859105961.83606,2435909512.8475423
2019,Retail,Ready-To-Drink Beverages,381949.69902823586,15672946.205508236,618803890.0129468,286995.60140597937,286995.6014059794,0.0,217730.42593104581,94954.09762225635,0.0,0.0,23908.60595197038,89147.02768067006,0.0,21603.509092531327,5807.069941586298,146529.38873922135,0.0,0.0,500990.6926376433,33732.10535016038,534722.7979878036,2479.9191534174197,1715.2914011774378,4195.210554594858,5518110803.196975,478326002.34329915
2020,Retail,Breads & Bakery,567268.4013769577,6512840.429126957,3733781359.333072,327606.0443256839,458878.1119016218,0.0,147779.09124271126,108390.28947533591,26210.03673341667,105062.0308425211,27291.72078908149,101761.50769831307,0.0,22808.819394572794,6628.781777022832,169115.2146666937,0.0,0.0,1005092.8073104991,130068.00968121056,1135160.8169917096,3849.293736983005,8687.369509618971,12536.663246601978,9943582053.783724,764796853.1693697
2020,Retail,Dairy & Eggs,626618.0814045548,29212964.168044556,1694003904.8661866,361881.37829218095,506887.60625547986,5278.026775461318,197723.06940639325,119730.47514907493,28952.22595083821,116054.00201246055,30147.07972023789,112408.16615198465,0.0,25582.126848266864,7322.30899709029,186421.69657460126,0.0,0.0,1870371.7178878384,39841.91720454663,1910213.635092385,23403.905047087977,2814.762467877156,26218.66751496513,145310683509.98056,844812677.0924665
2020,Retail,Dry Goods,745961.2648563893,42456531.86433639,4348785910.0580845,430803.8639321118,603427.4003948598,0.0,652842.9201643661,142533.86446152942,34466.35156503203,138157.1848977158,35888.77242327146,133816.97766360067,0.0,30382.839361164188,8716.886797928726,221998.38768614677,0.0,0.0,1821799.303766472,155194.08099805572,1976993.3847645277,8403.910595742349,10222.46264632697,18626.37324206932,86993857441.2578,1005712333.9914331
2020,Retail,Fresh Meat & Seafood,807038.9886353463,13609426.452535346,6433036442.875468,462045.771090994,651011.5040660455,109900.44709729675,296627.18027292157,156027.48456930084,37729.26635567788,151236.46661937347,39286.34718940426,146485.37381902884,0.0,33734.83092935741,0.0,242539.2191532035,0.0,0.0,8362102.65919973,148566.50755277064,8510669.1667525,113321.06002288878,8819.20852200575,122140.26854489453,980169687815.4319,1085019173.4434092
2020,Retail,Frozen,190672.84091933593,13757059.229389336,1125838620.0594947,110116.43698520552,154240.20273225324,1964.819396648468,168745.46421361231,36432.63818708268,8809.837023232627,35313.92872381505,9173.417598794611,34204.541839407975,0.0,7691.614103508768,2228.096347674704,56818.76709581947,0.0,0.0,750402.0186667768,25222.790204250032,775624.8088710268,6731.872834499247,1763.400777546761,8495.273612046007,45841758422.146484,257067004.55375543
2020,Retail,Prepared Foods,644624.9782840516,5710710.296634052,7063201068.86865,372280.63240708166,521453.8518302618,23287.52394081602,78334.82736107796,123171.12645378988,29784.215583119585,119389.0038400604,31013.40543258167,115638.39891477869,0.0,29290.891663379378,7532.727539011187,188805.20885733076,0.0,0.0,2535406.958761217,96804.07110603363,2632211.0298672505,20057.748374217914,6706.810716464482,26764.559090682393,247172517747.69754,869089753.0504364
2020,Retail,Produce,1504053.2389009607,28453523.24822096,4718324757.153438,868613.3950975105,1216667.6458464668,340107.0184681469,511724.0334712738,287385.5930544939,69493.18972274731,278561.0610262085,72361.16263194008,269810.06676482555,0.0,65285.442160750965,17575.52628966835,443581.1972503256,0.0,0.0,2242730.815834203,126091.65588128078,2368822.471715484,5539.302429742826,6276.91281925553,11816.215248998356,54824589464.10183,2027779409.744111
2020,Retail,Ready-To-Drink Beverages,407455.91074635694,17547627.508456357,673744120.147216,306160.87523720524,306160.8752372053,0.0,232270.24192096075,101295.0355091517,0.0,0.0,25505.19829606072,95100.17535390929,0.0,22745.519954654304,6194.860155242384,156615.1214773385,0.0,0.0,534446.340613633,35992.58245432685,570438.92306796,2645.5256275992797,1833.0090685742712,4478.53469617355,5886604620.022812,510268125.3953421
2021,Retail,Breads & Bakery,541930.2530597777,6269438.374129778,3888205895.074031,312972.8821037453,438381.42703314027,0.0,141178.2502246027,103548.82602663749,25039.31437952209,100369.23054987277,26072.68290947063,97216.1317020811,0.0,21600.709867609126,6332.694324556373,161750.66330002804,0.0,0.0,960198.378919377,124451.10359156039,1084649.4825109374,3677.3575329086757,8308.631488710053,11985.989021618729,9499432588.960289,730635711.7219005
